STATE_CODE,STATE_FULL_NAME,COUNTRY_CODE
AA,AA,US
AE,AE,US
AK,Alaska,US
AL,Alabama,US
AP,AP,US
AR,Arkansas,US
AS,American Samoa,US
AZ,Arizona,US
CA,California,US
CO,Colorado,US
CT,Connecticut,US
DC,District of Columbia,US
DE,Delaware,US
FL,Florida,US
GA,Georgia,US
GU,Guam,US
HI,Hawaii,US
IA,Iowa,US
ID,Idaho,US
IL,Illinois,US
IN,Indiana,US
KS,Kansas,US
KY,Kentucky,US
LA,Louisiana,US
MA,Massachusetts,US
MD,Maryland,US
ME,Maine,US
MH,Marshall Islands,US
MI,Michigan,US
MN,Minnesota,US
MO,Missouri,US
MP,Northern Mariana Islands,US
MS,Mississippi,US
MT,Montana,US
NC,North Carolina,US
ND,North Dakota,US
NE,Nebraska,US
NH,New Hampshire,US
NJ,New Jersey,US
NM,New Mexico,US
NV,Nevada,US
NY,New York,US
OH,Ohio,US
OK,Oklahoma,US
OR,Oregon,US
PA,Pennsylvania,US
PR,Puerto Rico,US
PW,Palau,US
RI,Rhode Island,US
SC,South Carolina,US
SD,South Dakota,US
TN,Tennessee,US
TX,Texas,US
UT,Utah,US
VA,Virginia,US
VI,Virgin Islands,US
VT,Vermont,US
WA,Washington,US
WI,Wisconsin,US
WV,West Virginia,US
WY,Wyoming,US
AK,AK,US
AL,AL,US
AR,AR,US
AS,AS,US
AZ,AZ,US
CA,CA,US
CO,CO,US
CT,CT,US
DC,DC,US
DE,DE,US
FL,FL,US
GA,GA,US
GU,GU,US
HI,HI,US
IA,IA,US
ID,ID,US
IL,IL,US
IN,IN,US
KS,KS,US
KY,KY,US
LA,LA,US
MA,MA,US
MD,MD,US
ME,ME,US
MH,MH,US
MI,MI,US
MN,MN,US
MO,MO,US
MP,MP,US
MS,MS,US
MT,MT,US
NC,NC,US
ND,ND,US
NE,NE,US
NH,NH,US
NJ,NJ,US
NM,NM,US
NV,NV,US
NY,NY,US
OH,OH,US
OK,OK,US
OR,OR,US
PA,PA,US
PR,PR,US
PW,PW,US
RI,RI,US
SC,SC,US
SD,SD,US
TN,TN,US
TX,TX,US
UT,UT,US
VA,VA,US
VI,VI,US
VT,VT,US
WA,WA,US
WI,WI,US
WV,WV,US
WY,WY,US